Elenco delle specie ricercate all'interno del campione ordinate per ordine alfabetico
Taxon
Aequorivita capsosiphonis
Aequorivita crocea
Aequorivita echinoideorum
Aequorivita lipolytica
Aequorivita lutea
Aequorivita nionensis
Aequorivita soesokkakensis
Aequorivita sublithincola
Aequorivita viscosa
Aequorivita vladivostokensis
Aeribacillus composti
Aeribacillus pallidus
Aeriscardovia aeriphila
Aerococcus christensenii
Aerococcus sanguinicola
Aerococcus suis
Aerococcus urinae
Aerococcus urinaeequi
Aerococcus urinaehominis
Aerococcus vaginalis
Aerococcus viridans
Aeromicrobium alkaliterrae
Aeromicrobium camelliae
Aeromicrobium chenweiae
Aeromicrobium choanae
Aeromicrobium erythreum
Aeromicrobium fastidiosum
Aeromicrobium flavum
Aeromicrobium ginsengisoli
Aeromicrobium halocynthiae
Aeromicrobium halotolerans
Aeromicrobium marinum
Aeromicrobium massiliense
Aeromicrobium panacisoli
Aeromicrobium panaciterrae
Aeromicrobium piscarium
Aeromicrobium ponti
Aeromicrobium tamlense
Aeromicrobium yanjiei
Aeromonas allosaccharophila
Aeromonas aquatica
Aeromonas australiensis
Aeromonas bestiarum
Aeromonas bivalvium
Aeromonas cavernicola
Aeromonas caviae
Aeromonas dhakensis
Aeromonas diversa
Aeromonas encheleia
Aeromonas enteropelogenes
Aeromonas eucrenophila
Aeromonas finlandensis
Aeromonas fluvialis
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas lacus
Aeromonas media
Aeromonas molluscorum
Aeromonas piscicola
Aeromonas popoffii
Aeromonas rivipollensis
Aeromonas rivuli
Aeromonas salmonicida
Aeromonas sanarellii
Aeromonas schubertii
Aeromonas simiae
Aeromonas sobria
Aeromonas taiwanensis
Aeromonas tecta
Aeromonas veronii
Aeropyrum camini
Aeropyrum pernix
Aestuariibacter halophilus
Aestuariibacter salexigens
Aestuariibaculum marinum
Aestuariibaculum scopimerae
Aestuariibaculum suncheonense
Aestuariibius insulae
Aestuariicoccus marinus
Aestuariihabitans beolgyonensis
Aestuariimicrobium kwangyangense
Aestuariimonas insulae
Aestuariisphingobium litorale
Aestuariispira insulae
Aestuariivita boseongensis
Aestuariivivens insulae
Aestuarium zhoushanense
Aetherobacter fasciculatus
Aetherobacter rufus
Affinibrenneria salicis
Afifella marina
Afifella pfennigii
Afipia birgiae
Afipia broomeae
Afipia carboxidovorans
Afipia clevelandensis
Afipia felis
Afipia massiliensis
Agaribacterium haliotis
Agaribacter marinus
Agaricicola taiwanensis
Agarilytica rhodophyticola
Agarivorans aestuarii
Agarivorans albus
Agarivorans gilvus
Agarivorans litoreus
Agathobacter ruminis
Agathobaculum butyriciproducens
Agathobaculum desmolans
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Aggregatibacter segnis
Aggregatilinea lenta
Aggregicoccus edonensis
Agilicoccus flavus
Agitococcus lubricus
Agreia bicolorata
Agreia pratensis
Agrilactobacillus composti
Agriterribacter humi
Agrobacterium fabacearum
Agrobacterium fabrum
Agrobacterium larrymoorei
Agrobacterium rhizogenes
Agrobacterium rubi
Agrobacterium salinitolerans
Agrobacterium tumefaciens
Agrobacterium vitis
Agrococcus baldri
Agrococcus carbonis
Agrococcus casei
Agrococcus citreus
Agrococcus jejuensis
Agrococcus jenensis
Agrococcus lahaulensis
Agrococcus sediminis
Agrococcus terreus
Agrococcus versicolor
Agromyces albus
Agromyces allii
Agromyces atrinae
Agromyces aurantiacus
Agromyces aureus
Agromyces badenianii
Agromyces bauzanensis
Agromyces binzhouensis
Agromyces bracchium
Agromyces cerinus
Agromyces flavus
Agromyces fucosus
Agromyces hippuratus
Agromyces humatus
Agromyces humi
Agromyces indicus
Agromyces insulae
Agromyces iriomotensis
Agromyces italicus
Agromyces kandeliae
Agromyces lapidis
Agromyces luteolus
Agromyces mangrovi
Agromyces marinus
Agromyces mediolanus
Agromyces neolithicus
